cohort	consequence	enrichment	lower	upper
All	pLoF	41.8119222995733	28.7023020092299	56.1682521440688
All	Missense	20.5485664852137	19.0767126254786	22.0377815920595
All	Synonymous	3.09300372543639	2.30278062362861	3.95834656837039
All	UTR5	7.68430038875818	5.41842856603393	10.0266475351845
All	UTR3	3.02465704464926	2.37376981622794	3.68646568661204
All	Promoter	2.70238426304347	2.45101647998312	2.96276792474272
All	CRE	1.92846258451321	1.80735608778372	2.04923318760734
All	Non-genic	0.435058521381689	0.413901113372308	0.456558242326487
